1,---,---,,
2,apple,アップル,りんご,リンゴ
3,orange,オレンジ,みかん,柑橘
4,grape,グレープ,ぶどう,ブドウ
5,peach,ピーチ,もも,桃
6,pineapple,パイン,ぱいん,パイナップル
7,strawberry,ストロベリー,いちご,苺
8,cranberry,クランベリー,くらんべり,ベリー
9,blueberry,ブルーベリー,ぶるーべり,ベリー
10,raspberry,ラズベリー,らずべり,ベリー
11,watermelon,スイカ,すいか,西瓜
12,melon,メロン,めろん,
13,lemon,レモン,れもん,柑橘
14,citrus,シトラス,しとらす,柑橘
15,grapefruit,グレープフルーツ,ぐれーぷふるーつ,柑橘
16,lime,ライム,らいむ,柑橘
17,banana,バナナ,ばなな,
18,mango,マンゴー,まんご,
19,cherry,チェリー,さくらんぼ,
20,kiwi,キウイ,きうい,キウィ
21,lychee,ライチ,らいち,
22,guava,グァバ,ぐぁば,グアバ
23,passionfruit,パッションフルーツ,ぱっしょんふるーつ,
24,vanilla,バニラ,ばにら,ヴァニラ
25,acai,アサイー,あさいー,
26,cucumber,キュウリ,きゅうり,キューカンバ
27,dragonfruit,ドラゴンフルーツ,どらごんふるーつ,
28,mint,ミント,みんと,
29,yuzu,柚子,ゆず,柑橘
30,elderflower,エルダーフラワー,えるだーふらわ,
31,papaya,パパイヤ,ぱぱいや,
32,chocolate,チョコレート,ちょこれーと,チョコ
33,pear,梨,なし,
34,mix,ミックス,みっくす,
35,tea,紅茶,こうちゃ,ティー
36,coffee,コーヒー,こーひー,
37,lact,乳酸菌,にゅうさんきん,
38,ginger,ジンジャー,しょうが,生姜
39,energy,エナジー,えなじー,エナドリ
40,bluehawaii,ブルーハワイ,ぶるーはわい,
41,coke,コーラ,こーら,コーク
42,iyokan,伊予柑,いよかん,柑橘
43,dekopon,デコポン,でこぽん,柑橘
